[rank0]:[titan] 2026-06-12 00:39:32,930 - root - INFO - step: 45  loss:  2.89397  grad_norm:  3.1562  memory:  1.33GiB(6.04%)  tps: 3,516  tflops: 3.69  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:33,220 - root - INFO - step: 46  loss:  2.81896  grad_norm:  2.7344  memory:  1.33GiB(6.04%)  tps: 3,535  tflops: 3.71  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:33,508 - root - INFO - step: 47  loss:  3.22801  grad_norm:  3.0312  memory:  1.33GiB(6.04%)  tps: 3,551  tflops: 3.72  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:33,800 - root - INFO - step: 48  loss:  3.24932  grad_norm:  2.1406  memory:  1.33GiB(6.04%)  tps: 3,509  tflops: 3.68  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:34,089 - root - INFO - step: 49  loss:  3.28825  grad_norm:  2.2812  memory:  1.33GiB(6.04%)  tps: 3,551  tflops: 3.72  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:34,394 - root - INFO - step: 50  loss:  3.39110  grad_norm:  2.2656  memory:  1.33GiB(6.04%)  tps: 3,360  tflops: 3.52  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:36,949 - root - INFO - step: 51  loss:  3.22421  grad_norm:  2.0625  memory:  1.33GiB(6.04%)  tps: 401  tflops: 0.42  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:37,237 - root - INFO - step: 52  loss:  3.30019  grad_norm:  1.9453  memory:  1.33GiB(6.04%)  tps: 3,559  tflops: 3.73  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:37,525 - root - INFO - step: 53  loss:  3.00746  grad_norm:  2.4844  memory:  1.33GiB(6.04%)  tps: 3,564  tflops: 3.74  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:37,813 - root - INFO - step: 54  loss:  2.88392  grad_norm:  3.4531  memory:  1.33GiB(6.04%)  tps: 3,560  tflops: 3.73  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:38,102 - root - INFO - step: 55  loss:  3.07768  grad_norm:  3.2031  memory:  1.33GiB(6.04%)  tps: 3,537  tflops: 3.71  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:38,390 - root - INFO - step: 56  loss:  3.08133  grad_norm:  2.5938  memory:  1.33GiB(6.04%)  tps: 3,566  tflops: 3.74  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:38,678 - root - INFO - step: 57  loss:  2.96762  grad_norm:  2.8906  memory:  1.33GiB(6.04%)  tps: 3,550  tflops: 3.72  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:38,965 - root - INFO - step: 58  loss:  2.87469  grad_norm:  2.5938  memory:  1.33GiB(6.04%)  tps: 3,574  tflops: 3.75  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:39,254 - root - INFO - step: 59  loss:  2.96323  grad_norm:  2.5625  memory:  1.33GiB(6.04%)  tps: 3,547  tflops: 3.72  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:39,541 - root - INFO - step: 60  loss:  3.02990  grad_norm:  2.4062  memory:  1.33GiB(6.04%)  tps: 3,569  tflops: 3.74  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:39,830 - root - INFO - step: 61  loss:  3.15402  grad_norm:  2.5938  memory:  1.33GiB(6.04%)  tps: 3,549  tflops: 3.72  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:40,118 - root - INFO - step: 62  loss:  3.27079  grad_norm:  2.6406  memory:  1.33GiB(6.04%)  tps: 3,553  tflops: 3.73  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:40,406 - root - INFO - step: 63  loss:  3.01633  grad_norm:  2.2188  memory:  1.33GiB(6.04%)  tps: 3,556  tflops: 3.73  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:40,693 - root - INFO - step: 64  loss:  3.06812  grad_norm:  2.1562  memory:  1.33GiB(6.04%)  tps: 3,570  tflops: 3.74  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:40,982 - root - INFO - step: 65  loss:  2.96958  grad_norm:  2.1719  memory:  1.33GiB(6.04%)  tps: 3,555  tflops: 3.73  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:41,270 - root - INFO - step: 66  loss:  2.88758  grad_norm:  1.7344  memory:  1.33GiB(6.04%)  tps: 3,551  tflops: 3.72  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:41,559 - root - INFO - step: 67  loss:  2.97344  grad_norm:  1.7266  memory:  1.33GiB(6.04%)  tps: 3,550  tflops: 3.72  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:41,847 - root - INFO - step: 68  loss:  3.00673  grad_norm:  2.4062  memory:  1.33GiB(6.04%)  tps: 3,562  tflops: 3.74  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:42,138 - root - INFO - step: 69  loss:  2.83497  grad_norm:  2.3594  memory:  1.33GiB(6.04%)  tps: 3,512  tflops: 3.68  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:42,426 - root - INFO - step: 70  loss:  2.83645  grad_norm:  2.5625  memory:  1.33GiB(6.04%)  tps: 3,566  tflops: 3.74  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:42,714 - root - INFO - step: 71  loss:  2.98188  grad_norm:  2.8594  memory:  1.33GiB(6.04%)  tps: 3,553  tflops: 3.72  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:43,002 - root - INFO - step: 72  loss:  3.07031  grad_norm:  2.1406  memory:  1.33GiB(6.04%)  tps: 3,554  tflops: 3.73  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:43,290 - root - INFO - step: 73  loss:  2.86403  grad_norm:  1.5312  memory:  1.33GiB(6.04%)  tps: 3,567  tflops: 3.74  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:43,579 - root - INFO - step: 74  loss:  2.81374  grad_norm:  1.7969  memory:  1.33GiB(6.04%)  tps: 3,537  tflops: 3.71  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:43,869 - root - INFO - step: 75  loss:  2.76403  grad_norm:  1.9531  memory:  1.33GiB(6.04%)  tps: 3,540  tflops: 3.71  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:44,158 - root - INFO - step: 76  loss:  2.79631  grad_norm:  1.7891  memory:  1.33GiB(6.04%)  tps: 3,542  tflops: 3.71  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:44,447 - root - INFO - step: 77  loss:  2.91860  grad_norm:  1.5859  memory:  1.33GiB(6.04%)  tps: 3,550  tflops: 3.72  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:44,737 - root - INFO - step: 78  loss:  3.00646  grad_norm:  1.8750  memory:  1.33GiB(6.04%)  tps: 3,534  tflops: 3.71  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:45,026 - root - INFO - step: 79  loss:  2.91377  grad_norm:  1.7891  memory:  1.33GiB(6.04%)  tps: 3,549  tflops: 3.72  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:45,316 - root - INFO - step: 80  loss:  2.84795  grad_norm:  1.9844  memory:  1.33GiB(6.04%)  tps: 3,528  tflops: 3.70  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:45,606 - root - INFO - step: 81  loss:  2.83564  grad_norm:  1.9531  memory:  1.33GiB(6.04%)  tps: 3,531  tflops: 3.70  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:45,900 - root - INFO - step: 82  loss:  2.71624  grad_norm:  1.7109  memory:  1.33GiB(6.04%)  tps: 3,492  tflops: 3.66  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:46,190 - root - INFO - step: 83  loss:  2.76248  grad_norm:  1.7188  memory:  1.33GiB(6.04%)  tps: 3,535  tflops: 3.71  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:46,480 - root - INFO - step: 84  loss:  2.82040  grad_norm:  1.8359  memory:  1.33GiB(6.04%)  tps: 3,534  tflops: 3.71  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:46,768 - root - INFO - step: 85  loss:  2.72810  grad_norm:  2.3594  memory:  1.33GiB(6.04%)  tps: 3,548  tflops: 3.72  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:47,067 - root - INFO - step: 86  loss:  2.89692  grad_norm:  2.3750  memory:  1.33GiB(6.04%)  tps: 3,428  tflops: 3.59  mfu: N/A
